Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The School for Good Mothers,Jessamine Chan,"",9781982156121,hardcover,to-read,2022/12/26,"","",0,"",,,,,,,,,"",,"",No
The Alloy of Law,Brandon Sanderson,"",9780765330420,hardcover,read,2015/08/12,2017/01/09,2017/01/09,1,"",,,,,,,4.0,,"",,fantasy,No
Royal Assassin,Robin Hobb,"",9780006480105,paperback,read,2015/08/11,2016/07/31,2016/07/31,1,"",,,,,,,4.0,,"",,fantasy,No
Malgudi Days,R. K. Narayan,"",9780143039655,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"",9780345418913,paperback,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
Liberation Day: Stories,George Saunders,"",9780525509592,hardcover,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
Discourses and Selected Writings,Epictetus,Robert F. Dobbin (Translator),9780140449464,paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Under a White Sky,Elizabeth Kolbert,"",9780593136270,hardcover,read,2021/12/11,"","",1,"",,,,,,,5.0,"","","","",No
Amrita,Banana Yoshimoto,Russell F. Wasden (Translator),9780571193745,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
The Murders in the Rue Morgue,Edgar Allan Poe,"Delfino Cinelli, Carlos Olivera",9781496166401,paperback,to-read,2018/11/16,"","",0,"",,,,,,,,,"",,classics,No
The N'Gustro Affair,Jean-Patrick Manchette,"Donald Nicholson-Smith (Translator), Gary Indiana",9781681375120,paperback,read,2023/01/29,2023/02/08,2023/01/29-2023/02/08,1,"dark, tense",medium,"","",No,"","",3.25,"","","","",No
Nightblade,Ryan Kirk,"",9780692530160,paperback,to-read,2017/02/12,"","",0,"",,,,,,,,,"",,fantasy,No
Harry Potter and the Deathly Hallows,J.K. Rowling,Mary GrandPré (Illustrator),9780545010221,hardcover,to-read,2016/05/20,"","",0,"",,,,,,,,,"",,fantasy,No
The Chrysalids,John Wyndham,"",,digital,to-read,2022/07/10,"","",0,"",,,,,,,,,"",,"",No
The Shadow of the Gods,John Gwynne,"",9780356514185,hardcover,to-read,2022/01/09,"","",0,"",,,,,,,,,"",,"",No
The Mamba Mentality: How I Play,Kobe Bryant,"",9780374201234,hardcover,to-read,2020/06/04,"","",0,"",,,,,,,,,"",,"",No
The Way of Shadows,Brent Weeks,"",9780316033671,paperback,to-read,2017/09/09,"","",0,"",,,,,,,,,"",,fantasy,No
Killing Commendatore,Haruki Murakami,"",9780525520047,hardcover,to-read,2022/01/19,"","",0,"",,,,,,,,,"",,"",No
The Death of Ivan Ilyich,Leo Tolstoy,Lynn Solotaroff (Translator),9780553900309,digital,read,2022/01/08,2022/01/10,2022/01/08-2022/01/10,1,"dark, emotional, reflective, sad",medium,Character,"",No,No,Yes,2.75,"","","","",No
Candide,Voltaire,"",9780486266893,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",No
Leech,Hiron Ennes,"",9781250811196,digital,to-read,2022/11/16,"","",0,"",,,,,,,,,"",,"",No
Thistlefoot,GennaRose Nethercott,"",9780593468838,hardcover,to-read,2022/11/16,"","",0,"",,,,,,,,,"",,"",No
The Ministry of Necessity,Scott Lynch,"",,,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
Hamnet,Maggie O'Farrell,"",9781472223791,hardcover,to-read,2022/01/11,"","",0,"",,,,,,,,,"",,"",No
They Thought They Were Free: The Germans 1933-45,Milton Mayer,"",9780226511924,paperback,to-read,2018/06/29,"","",0,"",,,,,,,,,"",,"history, international",No
Five Decembers,James Kestrel,"",9781789096118,hardcover,to-read,2022/09/23,"","",0,"",,,,,,,,,"",,"",No
At Night All Blood Is Black,David Diop,Anna Moschovakis (Translator),9780374266974,hardcover,read,2022/03/15,2022/12/08,2022/11/30-2022/12/08,1,"reflective, sad, tense",medium,"","","","","",3.5,"","","","",No
Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"",9781594205071,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,non-fiction,No
Last Argument of Kings,Joe Abercrombie,"",9780575077904,paperback,to-read,2023/01/02,"","",0,"",,,,,,,,,"",,"",No
The Latinist,Mark Prins,"",B098TYTCYR,digital,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
Exit West,Mohsin Hamid,"",9780735212176,hardcover,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
To Say Nothing of the Dog,Connie Willis,"",9780553575385,paperback,to-read,2022/07/17,"","",0,"",,,,,,,,,"",,"",No
Possession,A.S. Byatt,"",9780375712357,hardcover,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
Wake of Vultures,Lila Bowen,"",9780316264310,hardcover,to-read,2017/12/16,"","",0,"",,,,,,,,,"",,fantasy,No
1984,George Orwell,"",9781328869333,hardcover,read,2020/12/03,"","",1,"",,,,,,,,,"",,classics,No
The Last Herald-Mage,Mercedes Lackey,"",9780739422953,hardcover,to-read,2017/01/06,"","",0,"",,,,,,,,,"",,fantasy,No
The Frolic of the Beasts,Yukio Mishima,"",9780525434153,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Beyond the Shadows,Brent Weeks,"",9780316033664,paperback,to-read,2017/09/09,"","",0,"",,,,,,,,,"",,fantasy,No
Mythos: The Greek Myths Retold,Stephen Fry,"",9780718188726,hardcover,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Fire & Blood,George R.R. Martin,Doug Wheatley (Illustrator),9781524796280,hardcover,currently-reading,2023/01/04,"","",0,"",,,,,,,,,"",,"",Yes
Stardust,Neil Gaiman,"",9780062564344,paperback,read,2017/01/06,"","",1,"",,,,,,,5.0,,"",,"fantasy, favorites",No
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"",9781400032716,paperback,to-read,2019/06/07,"","",0,"",,,,,,,,,"",,literary-fiction,Yes
The Metamorphosis,Franz Kafka,"Susan Bernofsky (Translator), Susan Bernofsky (Translator)",9780393347098,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",Yes
Fruiting Bodies: Stories,Kathryn Harlan,"",9781324021223,hardcover,to-read,2022/12/11,"","",0,"",,,,,,,,,"",,"",No
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,"Linda Antonsson, Elio M. García, George R.R. Martin","",9780553805444,hardcover,to-read,2017/08/20,"","",0,"",,,,,,,,,"",,fantasy,No
Passing,Nella Larsen,"Ntozake Shange (Contributor), Mae G. Henderson (Contributor)",9780606288361,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
Sun Tzu: The Art of War,Sun Tzu,Peter Harris (Translator),9781841593852,hardcover,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
The Cat Who Saved Books,Sōsuke Natsukawa,Louise Heal Kawai (Translator),9780063095748,digital,to-read,2022/11/06,"","",0,"",,,,,,,,,"",,"",No
The Seven Moons of Maali Almeida,Shehan Karunatilaka,"",9781908745903,hardcover,to-read,2022/11/19,"","",0,"",,,,,,,,,"",,"",No
Julius Caesar,William Shakespeare,Roma Gill,9780198320272,paperback,read,2015/08/12,"","",1,"",,,,,,,3.0,,"",,plays,No
The War of the Worlds,H.G. Wells,"",9780375759239,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Outlawed,Anna North,"","",hardcover,to-read,2022/02/05,"","",0,"",,,,,,,,,"",,"",No
Fool's Quest,Robin Hobb,"",9780007444212,hardcover,to-read,2017/03/04,"","",0,"",,,,,,,,,"",,fantasy,No
Growing Up Absurd,Paul Goodman,"",,,to-read,2022/09/26,"","",0,"",,,,,,,,,"",,"",No
Diary of a Void,Emi Yagi,"David Boyd (Translator), Lucy North (Translator)",9780143136873,hardcover,read,2022/11/23,2022/12/28,2022/12/21-2022/12/28,1,"emotional, funny, relaxing",,"","","","","",4.0,"","","","",Yes
The Copenhagen Trilogy: Childhood; Youth; Dependency,Tove Ditlevsen,"Tiina Nunnally (Translator), Michael Favala Goldman (Translator)",9780374602390,hardcover,to-read,2022/03/01,"","",0,"",,,,,,,,,"",,"",No
Norse Mythology,Neil Gaiman,"",9780393609097,hardcover,read,2017/08/01,2017/08/02,2017/08/02,1,"",,,,,,,5.0,,"",,fantasy,No
The Enchanted April,Elizabeth von Arnim,Brenda Bowen (Contributor),9780698408296,digital,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Thud!,Terry Pratchett,"",9780385608671,hardcover,to-read,2017/05/15,"","",0,"",,,,,,,,,"",,fantasy,No
Ego Is the Enemy,Ryan Holiday,"",9781591847816,hardcover,to-read,2017/08/12,"","",0,"",,,,,,,,,"",,"history, non-fiction",No
Harry Potter and the Chamber of Secrets,J.K. Rowling,Mary GrandPré (Illustrator),9780439064866,hardcover,to-read,2016/05/20,"","",0,"",,,,,,,,,"",,fantasy,No
Everything Flows,Vasily Grossman,"Robert Chandler (Translator), Elizabeth Chandler (Translator), Anna Aslanyan (Translator)",9781590173282,paperback,to-read,2022/03/17,"","",0,"",,,,,,,,,"",,"",No
The Moving Target,Ross MacDonald,"",9780375701467,paperback,to-read,2023/01/14,"","",0,"",,,,,,,,,"",,"",No
The House of the Dead,Fyodor Dostoevsky,"",9780486434094,paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Fool's Assassin,Robin Hobb,"",9780007444175,hardcover,to-read,2015/07/30,"","",0,"",,,,,,,,,"",,fantasy,No
Knife of Dreams,Robert Jordan,"",9780812577563,paperback,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
The Doors of Stone,Patrick Rothfuss,"",9780575081444,hardcover,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
The Third Policeman,Flann O'Brien,"",9781564782144,paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Tokyo Ueno Station,Yu Miri,Morgan Giles (Translator),9780593187524,paperback,read,2022/12/07,2022/12/16,2022/12/07-2022/12/16,1,"challenging, dark, emotional, sad",,"","","","","",3.25,"","","","",Yes
The Crown Tower,Michael J. Sullivan,"",9780316243711,paperback,to-read,2017/01/14,"","",0,"",,,,,,,,,"",,fantasy,No
The Well of Ascension,Brandon Sanderson,"",9780765316882,hardcover,read,2015/07/16,2015/08/11,2015/08/11,1,"",,,,,,,3.0,,"",,fantasy,Yes
Human Acts,Han Kang,Deborah Smith (Translator),9781101906729,hardcover,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,international,No
The Decagon House Murders,Yukito Ayatsuji,"Ho-Ling Wong (Translator), Sōji Shimada (Contributor)",9781508503736,paperback,to-read,2022/01/17,"","",0,"",,,,,,,,,"",,"",No
The Sailor Who Fell from Grace with the Sea,Yukio Mishima,John Nathan (Translator),"",paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Trust,Hernan Diaz,"",9780593420317,hardcover,to-read,2022/11/19,"","",0,"",,,,,,,,,"",,"",No
The Sellout,Paul Beatty,"",9780374260507,hardcover,read,2016/03/20,"","",1,"",,,,,,,5.0,,"",,literary-fiction,No
No Rules Rules: Netflix and the Culture of Reinvention,"Erin Meyer, Reed Hastings","",9780593152386,paperback,to-read,2021/03/30,"","",0,"",,,,,,,,,"",,"",No
Crying in H Mart,Michelle Zauner,"",9780525657750,digital,to-read,2021/12/22,"","",0,"",,,,,,,,,"",,"",Yes
All the Ugly and Wonderful Things,Bryn Greenwood,"",9781250074133,hardcover,to-read,2017/01/15,"","",0,"",,,,,,,,,"",,literary-fiction,No
Crossroads of Twilight,Robert Jordan,"",9780312864590,hardcover,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
All Quiet on the Western Front,Erich Maria Remarque,"Arthur Wesley Wheen (Translator), A.W. Wheen (Translator)",9780449911495,paperback,to-read,2017/03/28,"","",0,"",,,,,,,,,"",,classics,Yes
The Great Hunt,Robert Jordan,"",9780812517729,paperback,to-read,2022/12/12,"","",0,"",,,,,,,,,"",,fantasy,No
"A Divine Language: Learning Algebra, Geometry, and Calculus at the Edge of Old Age",Alec Wilkinson,"",9781250168573,hardcover,to-read,2022/07/24,"","",0,"",,,,,,,,,"",,"",No
The Witchwood Crown,Tad Williams,"",9780756410605,hardcover,to-read,2017/12/09,"","",0,"",,,,,,,,,"",,fantasy,No
Custer's Trials: A Life on the Frontier of a New America,T. J. Stiles,"",9780307592644,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,history,No
Legacy of Violence: A History of the British Empire,Caroline Elkins,"",9780307272423,hardcover,to-read,2022/09/15,"","",0,"",,,,,,,,,"",,"",No
Almond,Sohn Won-pyung,Sandy Joosun Lee (Translator),9780062961372,hardcover,to-read,2022/03/28,"","",0,"",,,,,,,,,"",,"",Yes
The Bridegroom Was a Dog,Yōko Tawada,Margaret Mitsutani (Translator),9780811220378,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Catching Fire,Suzanne Collins,"",9780439023498,hardcover,read,2015/08/12,"","",1,"",,,,,,,4.0,,"",,fantasy,Yes
Dandelions,Yasunari Kawabata,Michael Emmerich (Translator),9780811224093,paperback,read,2022/12/10,2022/12/12,2022/12/10-2022/12/12,1,challenging,,"","","","","",2.5,"","","","",No
Scattered All Over the Earth,Yōko Tawada,Margaret Mitsutani (Translator),9780811229289,paperback,read,2022/01/17,2022/03/16,2022/03/07-2022/03/16,1,adventurous,slow,Character,It's complicated,Yes,Yes,"",3.0,"","","","",Yes
My Body,Emily Ratajkowski,"",9781250817860,hardcover,to-read,2022/01/10,"","",0,"",,,,,,,,,"",,"",No
Cleopatra and Frankenstein,Coco Mellors,"",9781635576818,hardcover,to-read,2022/07/29,"","",0,"",,,,,,,,,"",,"",No
The Ones Who Walk Away from Omelas,Ursula K. Le Guin,"",9780886825010,hardcover,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
Bunny,Mona Awad,"",9780525559733,hardcover,to-read,2022/06/09,"","",0,"",,,,,,,,,"",,"",No
The Underground Railroad,Colson Whitehead,"",9780385542364,hardcover,read,2017/01/04,2017/07/22,2017/07/22,1,"",,,,,,,4.0,,"",,literary-fiction,No
Neverwhere,Neil Gaiman,"",9780062459084,paperback,read,2022/03/26,2022/04/08,2022/03/26-2022/04/08,1,"adventurous, dark, hopeful, inspiring, tense",,"","","","","",3.25,"","","","",Yes
The Two Towers,J.R.R. Tolkien,"",9780261103580,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",No
A Gathering of Shadows,V.E. Schwab,"",9780765376473,hardcover,read,2016/12/31,2017/01/04,2017/01/04,1,"",,,,,,,5.0,,"",,fantasy,No
"The Myth of the Rational Market: A History of Risk, Reward, and Delusion on Wall Street",Justin Fox,"",9780060598990,hardcover,to-read,2017/12/16,"","",0,"",,,,,,,,,"",,"non-fiction, business",No
Shadows Linger,Glen Cook,"",9780812508420,paperback,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
Water Sleeps,Glen Cook,"",9780312859091,paperback,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
Spring Snow,Yukio Mishima,Michael Gallagher (Translator),9780099282990,paperback,to-read,2018/06/26,"","",0,"",,,,,,,,,"",,classics,No
The Immortal Irishman: The Irish Revolutionary Who Became an American Hero,Timothy Egan,"",9780544272880,hardcover,to-read,2017/08/12,"","",0,"",,,,,,,,,"",,"history, non-fiction",No
Crime and Punishment,Fyodor Dostoevsky,"",9780143058144,paperback,read,2015/08/12,"","",1,"",,,,,,,4.0,,"",,"literary-fiction, favorites",No
Assassin's Apprentice,Robin Hobb,"",9780006480099,paperback,read,2015/07/30,2016/07/09,2016/07/09,1,"",,,,,,,3.0,,"",,fantasy,No
American War,Omar El Akkad,"","",hardcover,to-read,2021/11/22,"","",0,"",,,,,,,,,"",,"",No
Artemis,Andy Weir,"",9780553448122,hardcover,to-read,2022/01/16,"","",0,"",,,,,,,,,"",,"",No
"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,"",9780525575238,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
Dawn,Octavia E. Butler,"",9780446603775,paperback,to-read,2017/01/15,"","",0,"",,,,,,,,,"",,science-fiction,No
Uncanny Valley: A Memoir,Anna Wiener,"",9780374278014,hardcover,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
Bestiary,K-Ming Chang,"",9780593132586,hardcover,to-read,2022/09/03,"","",0,"",,,,,,,,,"",,"",No
Words of Radiance,Brandon Sanderson,"",9780765326362,hardcover,read,2015/07/16,2017/07/31,2017/07/31,1,"",,,,,,,5.0,,"",,"fantasy, favorites",No
Down and Out in Paris and London,George Orwell,"",9780156262248,paperback,to-read,2022/01/17,"","",0,"",,,,,,,,,"",,"",No
Koreatown: A Cookbook,"Matt Rodbard, Deuki Hong","",9780804186131,hardcover,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,cookbooks,No
My Brilliant Life,Kim Ae-ran,Chi-Young Kim (Translator),9781250750556,hardcover,to-read,2022/12/09,"","",0,"",,,,,,,,,"",,"",No
Man's Search for Meaning,Viktor E. Frankl,"Harold S. Kushner (Contributor), William J. Winslade (Contributor), Isle Lasch (Translator)",9780807014295,paperback,to-read,2022/01/02,"","",0,"",,,,,,,,,"",,"",No
The End of Everything (Astrophysically Speaking),Katie Mack,"",9781982103545,hardcover,to-read,2021/12/10,"","",0,"",,,,,,,,,"",,non-fiction,No
The Books of Jacob,Olga Tokarczuk,Jennifer Croft (Translator),9781910695593,paperback,to-read,2022/03/17,"","",0,"",,,,,,,,,"",,"",No
The Memory Police,Yōko Ogawa,Stephen Snyder (Translator),9781473520691,digital,read,2021/12/11,2022/01/12,2022/01/08-2022/01/12,1,"dark, emotional, reflective, sad",slow,"","","","","",3.5,,"","","",Yes
City of Golden Shadow,Tad Williams,"",9780886777630,paperback,to-read,2017/12/09,"","",0,"",,,,,,,,,"",,fantasy,No
American Psycho,Bret Easton Ellis,"",9780679735779,paperback,to-read,2018/03/03,"","",0,"",,,,,,,,,"",,classics,No
"Beautiful World, Where Are You",Sally Rooney,"",9780374602604,hardcover,to-read,2022/01/13,"","",0,"",,,,,,,,,"",,"",No
Girl at War,Sara Nović,"",9780812996340,hardcover,read,2016/01/07,2016/03/01,2016/03/01,1,"",,,,,,,4.0,,"",,literary-fiction,No
The Naked Eye,Yōko Tawada,Susan Bernofsky (Translator),9780811217392,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Moshi Moshi,"Mai Ohno, Asa Yoneda, Banana Yoshimoto","",,,to-read,2022/01/08,"","",0,"",,,,,,,,,"",,"",Yes
Downtime: Deliciousness at Home: A Cookbook,Nadine Levy Redzepi,"",9780735216068,hardcover,to-read,2018/06/27,"","",0,"",,,,,,,,,"",,cookbooks,No
Territory of Light,Yūko Tsushima,Geraldine Harcourt (Translator),9780241312193,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"",9780735611313,paperback,to-read,2021/12/22,"","",0,"",,,,,,,,,"",,"",Yes
Assassin's Fate,Robin Hobb,"",9780007444250,hardcover,to-read,2017/03/04,"","",0,"",,,,,,,,,"",,fantasy,No
Momofuku,"David Chang, Peter Meehan","",9780307451958,hardcover,did-not-finish,2018/06/14,"","",0,"",,,,,,,,,"",,cooking,No
Nightmare Alley,William Lindsay Gresham,"",9781590173480,paperback,to-read,2022/09/26,"","",0,"",,,,,,,,,"",,"",No
Tender is the Night,F. Scott Fitzgerald,"",9780684801544,paperback,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
Heaven,Mieko Kawakami,"Sam Bett (Translator), David Boyd (Translator)",9781609456214,hardcover,read,2022/11/06,2023/01/23,2023/01/15-2023/01/23,1,"dark, reflective, sad, tense",medium,Character,Yes,Yes,No,"",4.25,<div>Very sad story. Enjoyed the growth of the main character coming to terms with his situation and doing what’s best for him. I’m sad Kojima wasn’t able to grow beyond her struggles.  </div>,"","","",No
Reef,Romesh Gunesekera,"",9781862070943,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
Outline of My Lover,Douglas A. Martin,"",9781643620237,paperback,to-read,2022/09/03,"","",0,"",,,,,,,,,"",,"",No
Love in the Big City,Sang Young Park,Anton Hur (Translator),9781911284659,paperback,to-read,2022/04/11,"","",0,"",,,,,,,,,"",,"",No
How to Do Nothing: Resisting the Attention Economy,Jenny Odell,"",9781612197494,hardcover,to-read,2022/01/22,"","",0,"",,,,,,,,,"",,"",No
Mr Salary,Sally Rooney,"",9780571351954,paperback,to-read,2022/01/13,"","",0,"",,,,,,,,,"",,"",No
Saving Beauty,Byung-Chul Han,Daniel Steuer (Translator),9781509515103,paperback,to-read,2022/07/30,"","",0,"",,,,,,,,,"",,"",No
"South of the Border, West of the Sun",Haruki Murakami,Philip Gabriel (Translator),9780099448570,paperback,to-read,2022/01/19,"","",0,"",,,,,,,,,"",,"",No
Ghost Empire,Richard Fidler,"",,,to-read,2022/01/17,"","",0,"",,,,,,,,,"",,"",No
The House in the Cerulean Sea,TJ Klune,"",9781250217325,digital,read,2022/01/17,2022/01/21,2022/01/21,1,"hopeful, inspiring",medium,A mix,Yes,Yes,Yes,No,4.25,,"","","",Yes
Midnight in Broad Daylight: A Japanese American Family Caught Between Two Worlds,Pamela Rotner Sakamoto,"",9780062351937,hardcover,to-read,2017/08/12,"","",0,"",,,,,,,,,"",,"history, non-fiction",No
The Hour of the Star,Clarice Lispector,Giovanni Pontiero (Translator),9780811211901,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
The Autumn Republic,Brian McClellan,"",9780316219129,hardcover,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
Time of White Horses,"Nancy Roberts, Ibrahim Nasrallah","",,,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,"",9781501134616,hardcover,to-read,2022/03/17,"","",0,"",,,,,,,,,"",,"",No
Too Loud a Solitude,Bohumil Hrabal,Michael Henry Heim,9780349102627,paperback,to-read,2018/04/21,"","",0,"",,,,,,,,,"",,literary-fiction,No
The Martian,Andy Weir,"",9780804139021,hardcover,read,2015/01/06,2015/01/01,2015/01/01,1,"",,,,,,,5.0,,"",,science-fiction,Yes
The Magic Toyshop,Angela Carter,"",9780140256406,paperback,to-read,2022/07/22,"","",0,"",,,,,,,,,"",,"",No
The Little Prince,Antoine de Saint-Exupéry,"",9788188280278,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",No
The Invention of Morel,Adolfo Bioy Casares,Ruth L.C. Simms (Translator),9781590170571,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Cain's Jawbone,"Torquemada, E. Powys Mathers","",9781800180796,paperback,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
Babel: An Arcane History,R.F. Kuang,"",9780008501815,hardcover,read,2022/08/21,2022/12/07,2022/10/19-2022/12/07,1,"adventurous, emotional, hopeful, inspiring",fast,A mix,Yes,Yes,Yes,"",4.5,"","","","",No
Mad Ship,Robin Hobb,"",9780553103335,hardcover,read,2015/08/11,2017/02/26,2017/02/26,1,"",,,,,,,5.0,,"",,"fantasy, favorites",No
The Novelist,Jordan Castro,"",9781593767136,hardcover,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
Nights at the Circus,Angela Carter,"",9780140077032,paperback,to-read,2022/07/22,"","",0,"",,,,,,,,,"",,"",No
The Final Empire,Brandon Sanderson,"",9780765311788,hardcover,read,2015/07/16,2015/07/29,2015/07/29,1,"",,,,,,,5.0,,"",,fantasy,Yes
Norwegian Wood,Haruki Murakami,Jay Rubin (Translator),9780375704024,paperback,read,2021/12/11,2022/02/23,2022/02/17-2022/02/23,1,"dark, emotional, sad",slow,Character,"",No,"","",4.0,,"","","",Yes
The Brothers Karamazov,Fyodor Dostoevsky,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780679410034,hardcover,to-read,2016/12/02,"","",0,"",,,,,,,,,"",,"literary-fiction, classics",Yes
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,"",0780679728757,paperback,did-not-finish,2016/12/19,"","",1,"",,,,,,,1.0,,"",,"literary-fiction, dnf",No
A Little Life,Hanya Yanagihara,"",9780804172707,paperback,to-read,2022/01/15,"","",0,"",,,,,,,,,"",,"",No
The Pachinko Parlour,Elisa Shua Dusapin,Aneesa Abbas Higgins (Translator),9781914198168,paperback,read,2022/12/12,2022/12/21,2022/12/12-2022/12/21,1,"adventurous, emotional, reflective, relaxing",,Character,"","","","",4.25,"","","","",Yes
Woman Running in the Mountains,Yūko Tsushima,Geraldine Harcourt (Translator),9781681375977,paperback,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
All the Pretty Horses,Cormac McCarthy,"",9780679744399,paperback,to-read,2022/11/29,"","",0,"",,,,,,,,,"",,"",Yes
Transparent Things,Vladimir Nabokov,"",9780679725411,paperback,to-read,2022/01/13,"","",0,"",,,,,,,,,"",,"",No
The Return of the King,J.R.R. Tolkien,"",9780261102378,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",No
Breasts and Eggs,Mieko Kawakami,"Sam Bett (Translator), David Boyd (Translator)",9781760981464,digital,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
An Artist of the Floating World,Kazuo Ishiguro,"",9780571209132,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
Geek Love,Katherine Dunn,"",9780307794482,digital,to-read,2021/12/22,"","",0,"",,,,,,,,,"",,"",Yes
People From My Neighbourhood,Hiromi Kawakami,Ted Goossen (Translator),"",paperback,read,2021/12/19,2021/12/22,2021/12/19-2021/12/22,1,"dark, mysterious, reflective, relaxing",fast,"",No,"","","",3.5,"","","","",Yes
Human Blues,Elisa Albert,"",9781982167868,hardcover,to-read,2022/09/03,"","",0,"",,,,,,,,,"",,"",No
The Gathering Storm,"Brandon Sanderson, Robert Jordan","",9780765302304,hardcover,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
Where the Wild Ladies Are,Aoko Matsuda,Polly Barton (Translator),9781593766900,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Love in a Fallen City,Eileen Chang,"Karen S. Kingsbury (Translator), Eileen Chang (Translator)",9781590171783,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Shadow's Edge,Brent Weeks,"",9780316033657,paperback,to-read,2017/09/09,"","",0,"",,,,,,,,,"",,fantasy,No
Theory of Shadows,Paolo Maurensig,"",9780374273804,hardcover,to-read,2022/06/03,"","",0,"",,,,,,,,,"",,"",No
Ninth House,Leigh Bardugo,"",9781250313072,hardcover,to-read,2022/04/09,"","",0,"",,,,,,,,,"",,"",No
The Big Short: Inside the Doomsday Machine,Michael Lewis,"",9780393353150,paperback,to-read,2019/02/18,"","",0,"",,,,,,,,,"",,"non-fiction, business",No
Pachinko,Min Jin Lee,"",9781786691347,digital,to-read,2017/10/04,"","",0,"",,,,,,,,,"",,"literary-fiction, international",Yes
Shadowheart,Tad Williams,"",9780756406400,hardcover,to-read,2017/09/09,"","",0,"",,,,,,,,,"",,fantasy,No
