Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Beware of Pity,Stefan Zweig,"Phyllis Blewitt (Translator), Trevor Blewitt (Translator), Joan Acocella (Contributor)",9781590172001,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"",9781400069286,hardcover,to-read,2021/05/22,"","",0,"",,,,,,,,,"",,"",No
Slaughterhouse-Five,Kurt Vonnegut,"",9780385333849,paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
A Darker Shade of Magic,V.E. Schwab,"",9780765376459,hardcover,read,2016/11/15,2016/12/23,2016/12/23,1,"",,,,,,,4.0,,"",,fantasy,No
They: A Sequence of Unease,Kay Dick,"","",,to-read,2022/01/13,"","",0,"",,,,,,,,,"",,"",Yes
A Feast for Crows,George R.R. Martin,"",9780553582024,paperback,read,2015/01/06,2015/06/25,2015/06/25,1,"",,,,,,,4.0,,"",,fantasy,Yes
Calamity,Brandon Sanderson,"",9780385743600,hardcover,read,2015/08/15,2016/05/22,2016/05/22,1,"",,,,,,,3.0,,"",,science-fiction,No
A Brief History of Time,Stephen Hawking,"",9780553380163,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",No
American Exception: Empire and the Deep State,Aaron Good,"",9781510769144,digital,to-read,2022/07/30,"","",0,"",,,,,,,,,"",,"",No
New Spring,Robert Jordan,"",9781841492612,paperback,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
Good Omens,"Terry Pratchett, Neil Gaiman","",9780552167406,paperback,to-read,2020/10/16,"","",0,"",,,,,,,,,"",,"",Yes
To Green Angel Tower,Tad Williams,"",9780756402983,paperback,to-read,2017/12/09,"","",0,"",,,,,,,,,"",,fantasy,No
Alone With You in the Ether,Olivie Blake,"",9798655480407,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
The Sandman: Overture: The Deluxe Edition,Neil Gaiman,J.H. Williams III (Illustrator),9781401248963,hardcover,to-read,2017/01/06,"","",0,"",,,,,,,,,"",,fantasy,No
Apollo 8: The Thrilling Story of the First Mission to the Moon,Jeffrey Kluger,"",9781627798327,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,history,No
The Netanyahus: An Account of a Minor and Ultimately Even Negligible Episode in the History of a Very Famous Family,Joshua Cohen,"",9781681376073,paperback,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
2001: A Space Odyssey,Arthur C. Clarke,"",9780451457998,paperback,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
A Conjuring of Light,V.E. Schwab,"",9780765387462,hardcover,read,2017/03/04,"","",1,"",,,,,,,3.0,,"",,fantasy,No
The Year of Magical Thinking,Joan Didion,"",9781400078431,paperback,read,2022/12/09,2022/12/13,2022/12/12-2022/12/13,1,"emotional, sad",,,,,,,4.25,"","","","",No
Untold Night and Day,Bae Suah,Deborah Smith (Translator),9781787331600,hardcover,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
A Wizard of Earthsea,Ursula K. Le Guin,"",9780553383041,paperback,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
Cursed Bunny,Bora Chung,Anton Hur (Translator),9781916277182,paperback,to-read,2022/06/24,"","",0,"",,,,,,,,,"",,"",No
The Girl on the Train,Paula Hawkins,"",9781594633669,hardcover,read,2015/06/25,2015/07/03,2015/07/03,1,"",,,,,,,3.0,,"",,literary-fiction,Yes
No One Belongs Here More Than You,Miranda July,"",9780743299398,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
Near to the Wild Heart,Clarice Lispector,Giovanni Pontiero,9780811211406,paperback,to-read,2018/04/21,"","",0,"",,,,,,,,,"",,literary-fiction,No
Subtract: The Untapped Science of Less,Leidy Klotz,"",9781250249869,hardcover,to-read,2021/05/20,"","",0,"",,,,,,,,,"",,"",No
The Goldfinch,Donna Tartt,"",9780316055437,hardcover,to-read,2015/06/25,"","",0,"",,,,,,,,,"",,literary-fiction,Yes
The Left Hand of Darkness,Ursula K. Le Guin,Charlie Jane Anders (Contributor),9781101665398,digital,to-read,2017/01/16,"","",0,"",,,,,,,,,"",,science-fiction,No
White Trash: The 400-Year Untold History of Class in America,Nancy Isenberg,"",9780670785971,hardcover,to-read,2017/08/12,"","",0,"",,,,,,,,,"",,non-fiction,No
Lark Ascending,Silas House,"",9781643751597,hardcover,to-read,2022/08/30,"","",0,"",,,,,,,,,"",,"",No
The Wilful Princess and the Piebald Prince,Robin Hobb,"",9780008245009,paperback,to-read,2018/06/09,"","",0,"",,,,,,,,,"",,"",No
Winter's Heart,Robert Jordan,"",9780812575583,paperback,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
Elantris,Brandon Sanderson,"",9780575097445,paperback,to-read,2015/07/16,"","",0,"",,,,,,,,,"",,fantasy,No
The Diary of a Young Girl,Anne Frank,B.M. Mooyaart-Doubleday (Translator),0553296981,paperback,read,2020/10/16,"","",1,"",,,,,,,4.0,,"",,"",No
The Mad and the Bad,Jean-Patrick Manchette,Donald Nicholson-Smith (Translator),9781590177204,paperback,to-read,2022/01/20,"","",0,"",,,,,,,,,"",,"",No
The Slow Regard of Silent Things,Patrick Rothfuss,Nate Taylor,9780756410438,hardcover,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,Yes
Get Well Soon: History's Worst Plagues and the Heroes Who Fought Them,Jennifer Wright,"",9781627797467,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,"history, non-fiction",No
Rhythm of War,Brandon Sanderson,"",9781429952040,digital,to-read,2022/04/03,"","",0,"",,,,,,,,,"",,"",Yes
The Last Unicorn,Peter S. Beagle,"",9780451450524,paperback,to-read,2017/01/06,"","",0,"",,,,,,,,,"",,fantasy,No
The Ruin of All Witches: Life and Death in the New World,Malcolm Gaskill,"",9780241413388,hardcover,to-read,2022/06/24,"","",0,"",,,,,,,,,"",,"",No
Such a Fun Age,Kiley Reid,"",9780525541929,digital,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
Gods of Want: Stories,K-Ming Chang,"",9780593241585,hardcover,to-read,2022/09/03,"","",0,"",,,,,,,,,"",,"",No
The Shadow Rising,Robert Jordan,"",9780812513738,paperback,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
Mona,Pola Oloixarac,Adam Morris (Translator),9780374211899,hardcover,read,2022/06/25,2022/08/31,2022/08/20-2022/08/31,1,"dark, emotional, mysterious",fast,Character,No,It's complicated,Yes,Yes,3.0,,Graphic: Sexual assault; ,"","",No
Weasels in the Attic,Hiroko Oyamada,David Boyd (Translator),9780811231183,paperback,read,2023/01/10,2023/01/15,2023/01/10-2023/01/15,1,"emotional, mysterious, reflective",slow,"","","","","",3.25,"","","","",No
The Midrange Theory,"Seth Partnow, Seth Partnow","",9781629379210,hardcover,to-read,2022/07/20,"","",0,"",,,,,,,,,"",,"",No
First Person Singular,Haruki Murakami,Philip Gabriel (Translator),9780593318072,hardcover,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
A Knight of the Seven Kingdoms,George R.R. Martin,Gary Gianni (Illustrator),9780345533487,hardcover,read,2016/02/20,2017/08/04,2017/08/04,2,"",,,,,,,5.0,,"",,"fantasy, favorites",No
Treasure Island,Robert Louis Stevenson,Mervyn Peake (Illustrator),9780679418009,hardcover,to-read,2017/01/18,"","",0,"",,,,,,,,,"",,classics,No
"Slow Days, Fast Company. The World, the Flesh, and L.A.",Eve Babitz,Matthew Specktor,9781681370088,paperback,to-read,2023/01/18,"","",0,"",,,,,,,,,"",,"",No
A Fatal Thing Happened on the Way to the Forum: Murder in Ancient Rome,Emma Southon,"",9781419753053,hardcover,to-read,2021/11/22,"","",0,"",,,,,,,,,"",,"",No
Psychopolitics: Neoliberalism and New Technologies of Power,Byung-Chul Han,Erik Butler (Translator),9781784785765,hardcover,to-read,2023/02/04,"","",0,"",,,,,,,,,"",,"",No
"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street",Sheelah Kolhatkar,"",9780812995800,hardcover,to-read,2021/12/10,"","",0,"",,,,,,,,,"",,"non-fiction, business",No
Second Place,Rachel Cusk,"",9780571366699,paperback,read,2021/12/08,2021/12/19,2021/12/19,1,"dark, emotional, reflective, sad",medium,Character,No,No,No,Yes,3.25,<div>This is very well written and joy to read. I don' t like any of the characters but I found the story compelling and enjoyable. </div>,"","","",Yes
Where Reasons End,Yiyun Li,"",9781984817372,hardcover,to-read,2022/12/13,"","",0,"",,,,,,,,,"",,"",No
The Black Company,Glen Cook,"",9780812533705,paperback,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
A Moveable Feast,Ernest Hemingway,"",9780743237291,digital,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
City of Dragons,Robin Hobb,"",9780007273805,hardcover,to-read,2017/03/04,"","",0,"",,,,,,,,,"",,fantasy,No
The Diving Pool,Yōko Ogawa,Stephen Snyder (Translator),9780312426835,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Abigail,Magda Szabó,Len Rix (Translator),9781681374086,digital,read,2022/09/23,2022/10/19,2022/09/23-2022/10/19,1,"adventurous, emotional, hopeful, inspiring",medium,"",Yes,Yes,"","",4.25,"","","","",No
The Gossamer Years: The Diary of a Noblewoman of Heian Japan,"",Edward Seidensticker (Translator),9780804811231,paperback,read,2018/09/17,"","",1,"",,,,,,,1.0,,"",,history,No
Lolly Willowes,Sylvia Townsend Warner,Alison Lurie (Contributor),9780940322165,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
The Red Palace,June Hur,"",9781250800558,hardcover,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
Slouching Towards Bethlehem,Joan Didion,"",9781504045650,digital,to-read,2022/01/11,"","",0,"",,,,,,,,,"",,"",No
Mediocre: The Dangerous Legacy of White Male America,Ijeoma Oluo,"",9781580059510,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
The Great Gatsby,F. Scott Fitzgerald,"",9780140274134,paperback,read,2017/03/28,"","",1,"",,,,,,,4.0,,"",,"literary-fiction, classics",No
Dead Souls,Nikolai Gogol,Robert A. Maguire (Translator),9780140448078,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Greek Lessons,Han Kang,"Emily Yae Won (Translator), Deborah Smith (Translator)",9780593595275,hardcover,to-read,2023/02/06,"","",0,"",,,,,,,,,"",,"",No
Flowers for Algernon,Daniel Keyes,"","",paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
If on a Winter's Night a Traveler,Italo Calvino,"",9780544133402,digital,read,2022/08/19,2022/08/19,2022/08/19-2022/08/19,1,"",,"","","","","",4.5,"","","","",No
Wizard's First Rule,Terry Goodkind,"",9780765346520,paperback,to-read,2019/05/27,"","",0,"",,,,,,,,,"",,fantasy,No
The Nonexistent Knight,Italo Calvino,"",9780544959101,paperback,read,2021/12/22,2022/01/10,2021/12/31-2022/01/10,1,"adventurous, funny, lighthearted",fast,Plot,"",Yes,"","",3.25,"","","","",Yes
The Siege of Krishnapur,J. G. Farrell,"",9781590170922,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
